GeneID	Expression
b3965	False
b4516	True
b1631	True
b1207	False
b3186	False
b0484	True
b1716	False
b2013	True
b4492	True
b1132	False
b3932	True
b3700	False
b2293	False
b3495	True
b1218	True
b3267	True
b3734	False
b0828	True
b1125	False
b0764	True
b4321	True
b0128	False
b2969	False
b2188	False
b1864	False
b0908	False
b3453	True
b2531	True
b1862	True
b1929	True
b0583	True
argV	True
b1186	False
b4613	False
b0801	True
b3290	False
b3089	True
b1852	False
b2583	True
b3714	False
b2810	True
b2094	True
b0584	True
b0482	True
b4482	True
b1422	True
b0595	True
b1201	True
b3570	False
b1851	False
b3606	False
b1658	False
serT	True
b1805	False
b2190	False
b3782	True
b0506	False
b1717	False
b1252	True
b1134	True
b4663	True
b3341	False
b3842	False
b3035	False
b1598	True
b4410	True
b1713	False
lysQ	True
b3056	False
b4000	True
b2323	True
b3390	False
b0048	False
b0655	True
b3859	True
b0524	False
b3053	True
b3981	False
b2817	False
b3732	True
gltT	True
b3973	False
b1927	True
b0990	True
b0149	False
b4041	False
b1822	False
b1109	False
b0049	False
b4056	True
b4188	True
b3191	False
b1594	True
alaT	True
b4366	True
b4226	False
b3387	False
b0636	False
b2254	True
b1494	True
b1262	True
b4177	False
asnT	True
b2684	False
b0680	False
b2032	False
b3755	False
b0775	True
b0125	False
b2677	True
b3496	True
b1848	True
b1061	True
b1332	False
b3822	False
b3701	False
tyrV	True
b0416	False
serV	True
b2946	False
sraB	True
b3528	True
b1824	True
b1830	False
b2041	False
b1199	True
b2040	False
b0369	False
rrlA	True
alaV	True
b3486	True
b1205	True
b0912	False
b3403	False
b3765	True
b2187	False
b0124	True
b1208	False
b1628	False
b1792	True
b4685	True
b0008	False
b1541	True
b3736	False
b3185	False
b3938	False
b2896	False
gltW	True
b3339	False
b3686	True
b0098	False
b4567	True
b0641	False
b2264	False
b2350	True
b1562	True
b2705	True
b3744	True
b2210	True
b4077	True
b0921	False
b3722	True
glyX	True
b0066	True
b4052	False
b1068	False
b3414	False
b3351	True
b4174	False
b4272	True
b3779	False
b0651	True
b3093	False
b0439	True
b3650	False
b3735	False
b3613	False
b0172	False
b4529	False
b3829	True
b4571	False
b3995	True
b2765	False
b2182	False
b3417	True
b0146	False
b1004	True
b0643	True
b0115	False
b0637	False
b2729	True
b3886	True
b1333	False
b0967	False
b0403	False
b4313	True
b3105	False
b4020	True
b4173	False
b4043	False
b4142	True
b1861	False
b2863	True
b1397	True
b4011	True
b0231	True
b0401	False
b3972	False
b3193	False
b0465	False
b4488	True
b2479	False
b4108	False
b1866	False
b1854	False
b2791	True
b0468	True
b3288	False
b2534	False
b4155	False
b2926	False
b0736	False
b0756	True
b0753	True
b2159	False
b3151	False
b1952	True
b2976	True
b0804	True
b3063	False
b2665	True
b0776	True
b3945	True
b2962	True
b0812	True
b3291	False
b2925	False
b3974	False
b1121	True
b1251	True
b2140	True
b2939	True
b1048	False
b1605	True
b1056	True
b2796	True
b2216	False
b3752	True
b2309	True
b2912	False
b1718	False
b4461	False
b1703	True
b0950	False
b4315	True
b3670	True
trpT	True
b1714	False
b0208	True
b2467	False
b0925	False
b0047	True
asnV	True
b0060	True
b3547	True
b4322	False
b4316	True
b0493	False
